,ID,Ad,Ses,Siralama
1,Ankraj,Ankraj,_ankraj,1
2,Braket,U Braket,_braket,12
3,BuharKesici,Buhar Kesici,_buhar_kesici,123
4,IsiYal,Isı Yalıtımı,_isi_yal,1234
5,SuYal,Su Yalıtımı,_suy_al,12345
6,DuseyProfil,Düşey Profil,_dusey_profil,123456
7,YatayProfil,Yatay Profil,_yatay_profil,1234567
8,KompozitPanel,Kompozit Panel,_kompozit,12345678
9,Sove,Kompozit Söve,_sove,123456789
10,Denizlik,Kompozit Denizlik,_denizlik,
11,Pencere,Pencere,_pencere,
12,PencereProfili,Pencere Profili,_pen_profili,
13,Kosebent,Köşe Kapağı,_kose_kapagi,
14,Civata,Cıvata,_civata,